Country_Name,PM2_5 ,PM10,NO2,PM25
Brazil,15.3,28.35,28.36,94.52054795
Brazil,14.7,28.4,7.55,77.80821918
Brazil,14.1,27.76,10.8,94.52054795
Brazil,13.8,39.16,45.08,93.15068493
Brazil,15,43.13,45.34,96.71232877
Brazil,16.2,28.95,18.82,75.61643836
Brazil,13.8,33.93,15.2,91.23287671
Brazil,15,33.97,14.8,89.31506849
Brazil,13.2,32.52,8.95,97.53424658
Brazil,14.7,28.67,33.75,90.4109589
Brazil,16.2,28.17,30.13,76.71232877
Brazil,14.4,27.05,20.5,95.06849315
Brazil,14.4,26.09,19.45,99.7260274
Brazil,12.9,27.28,38.27,95.25114155
Brazil,17.4,29.01,39.06,86.94063927
Brazil,17.1,18.08,16.04,89.04109589
Brazil,16.2,63,19,59.6153846
Brazil,15.3,65,20,87.5
Brazil,17.1,69,23,82.6923077
Brazil,15.3,74,25,86.5384615
Brazil,16.2,61.5,17,66.3461538
Brazil,15.3,75.5,17.5,100
Brazil,13.8,76.5,10.5,79.8076923
Brazil,15.3,184.5,19.17,72.8365385
Brazil,14.4,209,21.67,80.7692308
Brazil,15,185.83,24.5,62.5
Brazil,15,108,27.62,83.0528846
Brazil,15.6,120.11,28.67,91.1324786
Brazil,15.6,236,29.44,99.0384615
Brazil,14.1,135.33,25.11,83.6538462
Brazil,14.4,73,22.5,41.3461538
Brazil,16.2,82,24.5,84.1346154
Brazil,15.6,90.5,20.5,99.0384615
Brazil,16.5,72,11,88.4615385
Brazil,14.7,67,14,100
Brazil,15,62,12,60.5769231
Brazil,16.5,72,14,100
Brazil,14.7,71.25,18.75,45.1923077
Brazil,13.2,66.75,15,49.5192308
Brazil,15.3,94.5,25.5,95.6730769
Brazil,15,101,25,100
Brazil,13.5,99.5,26.5,98.0769231
Brazil,13.2,104,21,92.3076923
Brazil,15,107.5,25,100
Brazil,15.3,148.5,25,100
Brazil,14.4,114.5,25.5,84.6153846
Brazil,15.3,210.67,42.33,82.6923077
Brazil,13.8,163,37,100
Brazil,15.9,145.33,35,99.0384615
Brazil,15,184.33,43.67,100
India,21,62,11,88.4615385
India,19.2,52,14,100
India,20.7,56,13,62.5
India,16.5,57,14,100
India,19.5,59,11,20.1923077
India,17.1,54,14,75
India,18.9,65,13,75.9615385
India,14.7,45,17,38.4615385
India,19.8,171.5,21,93.2692308
India,15.6,85,12.33,80.4487179
India,15,83,11.33,99.0384615
India,17.7,85.67,11.33,100
India,18,86,11,99.6794872
India,18.3,103,31.25,82.5
India,16.8,91.56,30.67,63.7362637
India,20.1,89.75,29.62,64.2307692
India,16.8,78.62,25.75,56.1298077
India,17.4,106,55.33,100
India,18.6,90,46.67,100
India,16.8,108.33,49.67,100
India,17.7,115,27.67,100
India,18.3,126,23,100
India,18.9,108,21,98.0769231
India,18.3,117,22,100
India,19.2,95,17,61.5384615
India,19.8,89,15,25
India,20.4,87,16,48.0769231
India,20.1,58,19,100
India,18,61,19,97.1153846
India,17.1,64,19,99.0384615
India,16.5,65,19,100
India,16.5,88.71,14.71,41.3461538
India,17.4,92.71,14.71,66.9871795
India,18,134.57,13.71,93.6813187
India,16.2,160.75,16.75,38.4615385
India,18,105.17,19.67,72.275641
India,20.1,91,18.17,49.1987179
India,18.9,98.83,17.33,59.9358974
India,16.8,98.83,16.17,55.7692308
India,16.5,70,12,87.5
India,16.5,62,14,100
India,18.3,70,13,61.5384615
India,17.4,63,14,99.0384615
India,15,82,14,42.3076923
India,16.8,71,9,49.0384615
India,17.1,93,12,22.1153846
India,17.1,94,14,62.5
India,18.6,76,14,81.7307692
India,15.3,42,12,92.3076923
India,17.1,47,12,87.5
United Kingdom,18.9,59,13,61.5384615
United Kingdom,17.4,64,14,92.3076923
United Kingdom,21.3,92.67,24.33,82.3717949
United Kingdom,18.9,108.2,22.8,94.8076923
United Kingdom,19.5,188.2,25,99.4230769
United Kingdom,22.8,130.8,25.6,83.4615385
United Kingdom,14.7,104.5,24,100
United Kingdom,21.9,114,25,85.5769231
United Kingdom,20.1,171,24.5,99.0384615
United Kingdom,21.6,119.5,24.5,83.1730769
United Kingdom,19.5,102.5,9.5,38.9423077
United Kingdom,19.2,81,13,50.9615385
United Kingdom,20.4,77.22,21.33,32.0512821
United Kingdom,17.1,72.67,19,83.6538462
United Kingdom,17.4,77.56,20.56,21.9951923
United Kingdom,19.2,75.67,19.33,67.7884615
United Kingdom,19.5,67,19.25,48.0769231
United Kingdom,23.1,85,38,33.6538462
United Kingdom,23.1,13.3,58.65,79.977
United Kingdom,18,21.46,37.69,76.564
United Kingdom,20.7,20.48,44.07,98.87
United Kingdom,16.8,20.33,47.57,95.856
United Kingdom,23.1,22.47,32.79,95.057
United Kingdom,18.9,19.87,21.18,91.655
United Kingdom,20.1,13.69,11.94,94.218
United Kingdom,21.6,14.21,27.36,93.539
United Kingdom,18.6,28.63,58.8,97.6715
